Comment,Designator,Footprint,LCSC Part #
"100n","C1","C0603","C14663"
"100n","C2","C0603","C14663"
"100n","C3","C0603","C14663"
"LED-GREEN-0805","D1","LED-0805","C2297"
"LED-GREEN-0805","D2","LED-0805","C2297"
"LED-BLUE-0603","D3","LED-0603","C72041"
"LED-BLUE-0603","D4","LED-0603","C72041"
"1N4148WS","D5","SOD-323","C2128"
"LED-RED-0603","D6","LED-0603","C2286"
"LED-RED-0603","D7","LED-0603","C2286"
"LED-RED-0603","D8","LED-0603","C2286"
"LED-RED-0603","D9","LED-0603","C2286"
"LED-GREEN-0805","D10","LED-0805","C2297"
"LED-GREEN-0805","D11","LED-0805","C2297"
"1N4148WS","D12","SOD-323","C2128"
"1N4148WS","D13","SOD-323","C2128"
"1N4148WS","D14","SOD-323","C2128"
"1N4148WS","D15","SOD-323","C2128"
"LED-WHITE-0603","D16","LED-0603","C2290"
"LED-WHITE-0603","D17","LED-0603","C2290"
"LED-WHITE-0603","D18","LED-0603","C2290"
"LED-WHITE-0603","D19","LED-0603","C2290"
"1N4148WS","D20","SOD-323","C2128"
"1N4148WS","D21","SOD-323","C2128"
"1N4148WS","D22","SOD-323","C2128"
"1N4148WS","D23","SOD-323","C2128"
"SRV05-4-P-T7","D24","SOT23-6","C85364"
"LED-WHITE-0603","D26","LED-0603","C2290"
"LED-WHITE-0603","D27","LED-0603","C2290"
"1N4148WS","D29","SOD-323","C2128"
"1N4148WS","D30","SOD-323","C2128"
"LOGO","G1","LOGO",""
"DISCLAIMER","G2","Off_Road_Disclaimer",""
"LOGO","G3","LOGO",""
"USB_B_Mini","J1","USB-MINI-B-VERTICAL","C13453"
"Conn_01x05_Male","J2","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical",""
"Conn_02x12_Odd_Even","J4","PinHeader_2x12_P2.54mm_Vertical",""
"Conn_01x06","J5","PinHeader_2x03_P2.54mm_Vertical",""
"Conn_01x08","J6","PinHeader_2x04_P2.54mm_Vertical",""
"Conn_01x04","J7","PinHeader_2x02_P2.54mm_Vertical",""
"Conn_01x06","J8","PinHeader_2x03_P2.54mm_Vertical",""
"Conn_01x08","J9","PinHeader_2x04_P2.54mm_Vertical",""
"Conn_01x06","J10","PinHeader_2x03_P2.54mm_Vertical",""
"Conn_01x01","J11","MountingHole_4.5mm_Pad",""
"Conn_01x01","J12","MountingHole_4.5mm_Pad",""
"Conn_01x01","J13","MountingHole_4.5mm_Pad",""
"Conn_01x01","J14","MountingHole_4.5mm_Pad",""
"Conn_01x01","J15","MountingHole_4.5mm_Pad",""
"Conn_01x01","J16","MountingHole_4.5mm_Pad",""
"Conn_01x01","J17","MountingHole_4.5mm_Pad",""
"Conn_01x01","J18","MountingHole_4.5mm_Pad",""
"Conn_01x01","J19","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J20","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J21","TestPoint_Pad_D2.0mm",""
"Conn_01x01","J22","TestPoint_Pad_D2.0mm",""
"Conn_01x05","J23","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J24","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J25","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J26","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J27","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J28","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J29","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J30","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J31","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J32","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J33","PinHeader_1x05_P2.54mm_Vertical",""
"Conn_01x05","J34","PinHeader_1x05_P2.54mm_Vertical",""
"Pad","P1","PAD-TH",""
"176122-6_2nd","P2","176122-6_2nd",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P26","PAD-TH",""
"Pad","P27","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P46","PAD-TH",""
"Pad","P47","PAD-TH",""
"Pad","P48","PAD-TH",""
"Pad","P49","PAD-TH",""
"Pad","P50","PAD-TH",""
"Pad","P51","PAD-TH",""
"Pad","P52","PAD-TH",""
"Pad","P53","PAD-TH",""
"Pad","P54","PAD-TH",""
"Pad","P55","PAD-TH",""
"Pad","P56","PAD-TH",""
"470","R1","R0603-4","C25510"
"470","R2","R0603-4","C25510"
"4.7k","R3","R0603","C23162"
"1k","R4","R0603","C21190"
"4.7k","R5","R0603-4","C1980"
"4.7k","R6","R0603-4","C1980"
"4.7k","R7","R0603-4","C1980"
"10k","R8","R0603-4","C29718"
"680k","R9","R0603-4","C145776"
"Jumper-Pad-Pad","R10","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R11","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R12","PAD-0805-PAD"," C17477"
"0","R14","R0603","C21189"
"0","R15","R0603","C21189"
"470","R16","R0603-4","C25510"
"Jumper-Pad-Pad","R17","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R18","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R19","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R20","PAD-0805-PAD"," C17477"
"1k","R21","R0603","C21190"
"10k","R22","R0603","C25804"
"10k","R23","R0603","C25804"
"Jumper-Pad-Pad","R24","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R25","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R26","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R27","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R28","PAD-0805-PAD"," C17477"
"Jumper-Pad-Pad","R29","PAD-0805-PAD"," C17477"
