Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,29.900000mm,17.500000mm,Top,0.0,29.900000mm,17.500000mm
C1,70.239359mm,21.204880mm,Top,0.0,70.239359mm,21.204880mm
C2,126.100700mm,49.707060mm,Top,-90.0,126.100700mm,49.707060mm
C3,62.909999mm,32.100000mm,Top,0.0,62.909999mm,32.100000mm
C4,130.690001mm,90.000000mm,Top,180.0,130.690001mm,90.000000mm
C5,130.000000mm,85.500000mm,Top,-90.0,130.000000mm,85.500000mm
C6,135.690001mm,20.050014mm,Top,180.0,135.690001mm,20.050014mm
D1,68.279360mm,7.100000mm,Top,180.0,68.279360mm,7.100000mm
D2,68.200000mm,11.200000mm,Top,180.0,68.200000mm,11.200000mm
D3,123.829152mm,55.785509mm,Top,-90.0,123.829152mm,55.785509mm
D4,121.829152mm,55.785509mm,Top,-90.0,121.829152mm,55.785509mm
D5,29.410960mm,119.000000mm,Top,-90.0,29.410960mm,119.000000mm
D6,72.310209mm,84.050750mm,Top,90.0,72.310209mm,84.050750mm
D7,69.010209mm,84.050750mm,Top,90.0,69.010209mm,84.050750mm
D8,67.110209mm,84.050750mm,Top,90.0,67.110209mm,84.050750mm
D9,63.810209mm,84.050750mm,Top,90.0,63.810209mm,84.050750mm
D10,27.600700mm,118.900001mm,Top,90.0,27.600700mm,118.900001mm
D11,31.310960mm,119.000000mm,Top,90.0,31.310960mm,119.000000mm
D12,73.997706mm,83.949251mm,Top,-90.0,73.997706mm,83.949251mm
D13,70.697706mm,83.949251mm,Top,-90.0,70.697706mm,83.949251mm
D14,65.510209mm,83.950750mm,Top,-90.0,65.510209mm,83.950750mm
D15,62.210209mm,83.950750mm,Top,-90.0,62.210209mm,83.950750mm
D16,45.549998mm,97.007060mm,Top,90.0,45.549998mm,97.007060mm
D17,42.300000mm,97.000000mm,Top,90.0,42.300000mm,97.000000mm
D18,40.400000mm,97.000000mm,Top,90.0,40.400000mm,97.000000mm
D19,37.100000mm,97.000000mm,Top,90.0,37.100000mm,97.000000mm
D20,47.200000mm,96.905561mm,Top,-90.0,47.200000mm,96.905561mm
D21,44.000000mm,96.900000mm,Top,-90.0,44.000000mm,96.900000mm
D22,38.787497mm,96.898501mm,Top,-90.0,38.787497mm,96.898501mm
D23,35.500000mm,96.900000mm,Top,-90.0,35.500000mm,96.900000mm
D24,45.712503mm,13.001498mm,Top,90.0,45.712503mm,13.001498mm
D25,58.787498mm,72.998501mm,Top,-90.0,58.787498mm,72.998501mm
D26,98.000700mm,109.607060mm,Top,180.0,98.000700mm,109.607060mm
D27,98.000700mm,107.707060mm,Top,180.0,98.000700mm,107.707060mm
D28,54.186000mm,82.200000mm,Top,180.0,54.186000mm,82.200000mm
D29,98.100700mm,111.307060mm,Top,0.0,98.100700mm,111.307060mm
D30,98.100700mm,106.094557mm,Top,0.0,98.100700mm,106.094557mm
D31,55.400000mm,101.900000mm,Top,0.0,55.400000mm,101.900000mm
F1,23.700000mm,139.800000mm,Top,0.0,23.700000mm,139.800000mm
F2,14.800000mm,139.800000mm,Top,0.0,14.800000mm,139.800000mm
G1,135.000000mm,120.600000mm,Top,0.0,135.000000mm,120.600000mm
G2,145.610960mm,113.982000mm,Top,90.0,145.610960mm,113.982000mm
G3,143.605349mm,130.807713mm,Top,0.0,143.605349mm,130.807713mm
G4,20.320000mm,55.880000mm,Top,90.0,20.320000mm,55.880000mm
G5,5.080000mm,33.020000mm,Top,90.0,5.080000mm,33.020000mm
G6,5.080000mm,55.880000mm,Top,90.0,5.080000mm,55.880000mm
G7,20.320000mm,33.020000mm,Top,90.0,20.320000mm,33.020000mm
J1,143.600000mm,121.100000mm,Top,180.0,143.600000mm,121.100000mm
J2,129.050000mm,112.900000mm,Top,-90.0,129.050000mm,112.900000mm
J3,76.679360mm,7.204880mm,Top,90.0,76.679360mm,7.204880mm
J4,122.922360mm,14.783880mm,Top,-90.0,122.922360mm,14.783880mm
J5,142.182500mm,105.400000mm,Top,0.0,142.182500mm,105.400000mm
J25,141.800000mm,90.900000mm,Top,-90.0,141.800000mm,90.900000mm
J27,103.950000mm,102.800000mm,Top,-90.0,103.950000mm,102.800000mm
M1,116.035960mm,81.379681mm,Top,180.0,116.035960mm,81.379681mm
M2,125.999471mm,39.516735mm,Top,180.0,125.999471mm,39.516735mm
M3,116.166861mm,64.258503mm,Top,180.0,116.166861mm,64.258503mm
M4,72.141861mm,10.014693mm,Top,0.0,72.141861mm,10.014693mm
M5,57.814860mm,78.451380mm,Top,180.0,57.814860mm,78.451380mm
M6,83.925012mm,67.150000mm,Top,90.0,83.925012mm,67.150000mm
M7,57.427357mm,15.988885mm,Top,90.0,57.427357mm,15.988885mm
M8,58.182363mm,110.369559mm,Top,-90.0,58.182363mm,110.369559mm
M9,107.509785mm,95.713404mm,Top,180.0,107.509785mm,95.713404mm
M10,30.201711mm,120.928865mm,Top,90.0,30.201711mm,120.928865mm
M11,21.923460mm,77.587499mm,Top,90.0,21.923460mm,77.587499mm
M12,81.625700mm,99.057060mm,Top,90.0,81.625700mm,99.057060mm
M13,111.091858mm,25.623217mm,Top,180.0,111.091858mm,25.623217mm
P1,109.499364mm,94.600000mm,Top,180.0,109.499364mm,94.600000mm
P2,142.778240mm,143.373780mm,Top,0.0,142.778240mm,143.373780mm
P3,65.210960mm,41.704880mm,Top,0.0,65.210960mm,41.704880mm
P4,65.210960mm,49.204880mm,Top,0.0,65.210960mm,49.204880mm
P5,62.400700mm,41.704880mm,Top,0.0,62.400700mm,41.704880mm
