Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","BATTERY_CR2032","BatteryHolder_Keystone_1060_1x2032",29.900000,17.500000,180.000000,top
"C1","100n","C0603",70.239359,21.204880,0.000000,top
"C2","100n","C0603",126.100700,49.707060,-90.000000,top
"C3","100n","C0603",62.909999,32.100000,0.000000,top
"C4","10u","C0603",130.690001,90.000000,180.000000,top
"C5","100n","C0603",130.000000,85.500000,-90.000000,top
"C6","100n","C0603",135.690001,20.050014,180.000000,top
"D1","LED-GREEN-0805","LED-0805",68.279360,7.100000,180.000000,top
"D2","LED-GREEN-0805","LED-0805",68.200000,11.200000,180.000000,top
"D3","LED-BLUE-0603","LED-0603",123.829152,55.785509,-90.000000,top
"D4","LED-BLUE-0603","LED-0603",121.829152,55.785509,-90.000000,top
"D5","1N4148WS","SOD-323",29.410960,119.000000,-90.000000,top
"D6","LED-RED-0603","LED-0603",72.310209,84.050750,90.000000,top
"D7","LED-RED-0603","LED-0603",69.010209,84.050750,90.000000,top
"D8","LED-RED-0603","LED-0603",67.110209,84.050750,90.000000,top
"D9","LED-RED-0603","LED-0603",63.810209,84.050750,90.000000,top
"D10","LED-GREEN-0805","LED-0805",27.600700,118.900001,90.000000,top
"D11","LED-GREEN-0805","LED-0805",31.310960,119.000000,90.000000,top
"D12","1N4148WS","SOD-323",73.997706,83.949251,-90.000000,top
"D13","1N4148WS","SOD-323",70.697706,83.949251,-90.000000,top
"D14","1N4148WS","SOD-323",65.510209,83.950750,-90.000000,top
"D15","1N4148WS","SOD-323",62.210209,83.950750,-90.000000,top
"D16","LED-WHITE-0603","LED-0603",45.549998,97.007060,90.000000,top
"D17","LED-WHITE-0603","LED-0603",42.300000,97.000000,90.000000,top
"D18","LED-WHITE-0603","LED-0603",40.400000,97.000000,90.000000,top
"D19","LED-WHITE-0603","LED-0603",37.100000,97.000000,90.000000,top
"D20","1N4148WS","SOD-323",47.200000,96.905561,-90.000000,top
"D21","1N4148WS","SOD-323",44.000000,96.900000,-90.000000,top
"D22","1N4148WS","SOD-323",38.787497,96.898501,-90.000000,top
"D23","1N4148WS","SOD-323",35.500000,96.900000,-90.000000,top
"D24","1N4148WS","SOD-323",45.712503,13.001498,90.000000,top
"D25","1N4148WS","SOD-323",58.787498,72.998501,-90.000000,top
"D26","LED-WHITE-0603","LED-0603",98.000700,109.607060,180.000000,top
"D27","LED-WHITE-0603","LED-0603",98.000700,107.707060,180.000000,top
"D28","1N4148WS","SOD-323",54.186000,82.200000,180.000000,top
"D29","1N4148WS","SOD-323",98.100700,111.307060,0.000000,top
"D30","1N4148WS","SOD-323",98.100700,106.094557,0.000000,top
"D31","1N4148WS","SOD-323",55.400000,101.900000,0.000000,top
"F1","Fuse-Pad-Pad","PAD-1206-PAD",23.700000,139.800000,0.000000,top
"F2","Fuse-Pad-Pad","PAD-1206-PAD",14.800000,139.800000,0.000000,top
"G1","LOGO","LOGO",135.000000,120.600000,0.000000,top
"G2","DISCLAIMER","Off_Road_Disclaimer",145.610960,113.982000,90.000000,top
"G3","LOGO","LOGO",143.605349,130.807713,0.000000,top
"G4","PROTO_AREA","PROTO_AREA",20.320000,55.880000,90.000000,top
